"date","incidence"
2008-09-29,1.06828
2008-10-06,1.00756
2008-10-13,0.979399
2008-10-20,1.04943
2008-10-27,1.13218
2008-11-03,1.13156
2008-11-10,1.15469
2008-11-17,1.20448
2008-11-24,1.36081
2008-12-01,1.30322
2008-12-08,1.30204
2008-12-15,1.45109
2008-12-22,1.79927
2008-12-29,2.12134
2008-12-29,1.47138
2009-01-05,1.61555
2009-01-12,1.95333
2009-01-19,2.42907
2009-01-26,2.96686
2009-02-02,3.57354
2009-02-09,3.36653
2009-02-16,3.2962
2009-02-23,3.17227
2009-03-02,2.5804
2009-03-09,2.42922
2009-03-16,1.99028
2009-03-23,1.72423
2009-03-30,1.60355
2009-04-06,1.28418
2009-04-13,1.2932
2009-04-20,2.74012
2009-04-27,2.22391
2009-05-04,1.76657
2009-05-11,1.92171
2009-05-18,1.8611
2009-05-25,1.68423
2009-06-01,1.7393
2009-06-08,1.83001
2009-06-15,1.58128
2009-06-22,1.49172
2009-06-29,1.389
2009-07-06,1.34702
2009-07-13,1.16056
2009-07-20,1.2085
2009-07-27,1.15544
2009-08-03,1.14518
2009-08-10,1.4664
2009-08-17,2.38017
2009-08-24,3.44681
2009-08-31,4.05315
2009-09-07,4.26621
2009-09-14,4.21579
2009-09-21,4.8861
2009-09-28,6.06923
2009-10-05,7.09467
2009-10-12,7.7151
2009-10-19,7.55134
2009-10-26,6.67118
2009-11-02,5.20633
2009-11-09,4.04477
2009-11-16,3.49722
2009-11-23,2.69023
2009-11-30,2.47119
2009-12-07,2.44773
2009-12-14,2.64594
2009-12-21,2.61567
2010-01-04,1.90712
2010-01-11,1.86738
2010-01-18,1.88072
2010-01-25,1.96908
2010-02-01,2.11387
2010-02-08,2.09695
2010-02-15,1.90294
2010-02-22,1.96951
2010-03-01,1.92331
2010-03-08,1.89659
2010-03-15,1.75181
2010-03-22,1.52632
2010-03-29,1.49572
2010-04-05,1.22313
2010-04-12,1.17754
2010-04-19,1.09112
2010-04-26,1.11958
2010-05-03,1.08169
2010-05-10,1.12497
2010-05-17,1.06197
2010-05-24,1.08909
2010-05-31,1.1776
2010-06-07,0.97493
2010-06-14,0.987132
2010-06-21,0.995991
2010-06-28,0.904726
2010-07-05,0.941927
2010-07-12,0.880415
2010-07-19,0.842615
2010-07-26,0.858382
2010-08-02,0.83383
2010-08-09,0.847437
2010-08-16,0.888273
2010-08-23,0.765372
2010-08-30,0.91858
2010-09-06,1.01432
2010-09-13,1.01233
2010-09-20,1.11803
2010-09-27,1.11806
2010-10-04,1.10939
2010-10-11,1.24341
2010-10-18,1.25726
2010-10-25,1.25734
2010-11-01,1.43414
2010-11-08,1.51838
2010-11-15,1.61617
2010-11-22,1.84378
2010-11-29,1.72535
2010-12-06,1.87923
2010-12-13,2.3371
2010-12-20,3.03533
2010-12-27,3.136
2011-01-03,2.53336
2011-01-10,2.91288
2011-01-17,3.44497
2011-01-24,4.16185
2011-01-31,4.55159
2011-02-07,4.46504
2011-02-14,4.55124
2011-02-21,4.0822
2011-02-28,3.38812
2011-03-07,2.99142
2011-03-14,2.61542
2011-03-21,2.09065
2011-03-28,1.86146
2011-04-04,1.61377
2011-04-11,1.42199
2011-04-18,1.3382
2011-04-25,1.19995
2011-05-02,1.14889
2011-05-09,1.12194
2011-05-16,1.06712
2011-05-23,1.05058
2011-05-30,1.15203
2011-06-06,0.970975
2011-06-13,0.894683
2011-06-20,0.843568
2011-06-27,0.815409
2011-07-04,0.823052
2011-07-11,0.674635
2011-07-18,0.631883
2011-07-25,0.641513
2011-08-01,0.529813
2011-08-08,0.644089
2011-08-15,0.667718
2011-08-22,0.705668
2011-08-29,0.804155
2011-09-05,0.907804
2011-09-12,1.00555
2011-09-19,1.03601
2011-09-26,1.07583
2011-10-03,1.16092
2011-10-10,1.19785
2011-10-17,1.27926
2011-10-24,1.29194
2011-10-31,1.42824
2011-11-07,1.39803
2011-11-14,1.45831
2011-11-21,1.56548
2011-11-28,1.34313
2011-12-05,1.48139
2011-12-12,1.63398
2011-12-19,1.83126
2011-12-26,2.10451
2012-01-02,1.73625
2012-01-09,1.55066
2012-01-16,1.62891
2012-01-23,1.76038
2012-01-30,1.92728
2012-02-06,1.91994
2012-02-13,2.09951
2012-02-20,2.23973
2012-02-27,2.21921
2012-03-05,2.16693
2012-03-12,2.38913
2012-03-19,1.96466
2012-03-26,1.84229
2012-04-02,1.68674
2012-04-09,1.53136
2012-04-16,1.37912
2012-04-23,1.29515
2012-04-30,1.39521
2012-05-07,1.32522
2012-05-14,1.23059
2012-05-21,1.23028
2012-05-28,1.26877
2012-06-04,1.10782
2012-06-11,1.09559
2012-06-18,1.11031
2012-06-25,1.10616
2012-07-02,1.10816
2012-07-09,0.999444
2012-07-16,0.924199
2012-07-23,0.949257
2012-07-30,0.978903
2012-08-06,0.925024
2012-08-13,0.848456
2012-08-20,1.04451
2012-08-27,1.0986
2012-09-03,1.22071
2012-09-10,1.24976
2012-09-17,1.22892
2012-09-24,1.29393
2012-10-01,1.23034
2012-10-08,1.3278
2012-10-15,1.33995
2012-10-22,1.37842
2012-10-29,1.50085
2012-11-05,1.65163
2012-11-12,1.76746
2012-11-19,2.30609
2012-11-26,2.16324
2012-12-03,2.83038
2012-12-10,3.43761
2012-12-17,4.30554
2012-12-24,6.06082
2012-12-31,4.64931
2013-01-07,4.32584
2013-01-14,4.51113
2013-01-21,4.2171
2013-01-28,3.78956
2013-02-04,3.29206
2013-02-11,3.0197
2013-02-18,2.71499
2013-02-25,2.4845
2013-03-04,2.57808
2013-03-11,2.39237
2013-03-18,2.06778
2013-03-25,1.90281
2013-04-01,1.65902
2013-04-08,1.43006
2013-04-15,1.27757
2013-04-22,1.19009
2013-04-29,1.09556
2013-05-06,1.08589
2013-05-13,1.07343
2013-05-20,1.01677
2013-05-27,1.04847
2013-06-03,0.920349
2013-06-10,0.920779
2013-06-17,0.904333
2013-06-24,0.83057
2013-07-01,0.862837
2013-07-08,0.732182
2013-07-15,0.724558
2013-07-22,0.740848
2013-07-29,0.726037
2013-08-05,0.755639
2013-08-12,0.761847
2013-08-19,0.779896
2013-08-26,0.899138
2013-09-02,0.999524
2013-09-09,1.0558
2013-09-16,1.0967
2013-09-23,1.24709
2013-09-30,1.15746
2013-10-07,1.27184
2013-10-14,1.31623
2013-10-21,1.37444
2013-10-28,1.46781
2013-11-04,1.5834
2013-11-11,1.60253
2013-11-18,1.72344
2013-11-25,2.11076
2013-12-02,2.1708
2013-12-09,2.36971
2013-12-16,3.15997
2013-12-23,4.59053
2013-12-30,4.28195
2014-01-06,3.56288
2014-01-13,3.36378
2014-01-20,3.39659
2014-01-27,3.11922
2014-02-03,2.83572
2014-02-10,2.48484
2014-02-17,2.2741
2014-02-24,2.07244
2014-03-03,1.98207
2014-03-10,1.82441
2014-03-17,1.82036
2014-03-24,1.75391
2014-03-31,1.74542
2014-04-07,1.67236
2014-04-14,1.51659
2014-04-21,1.44778
2014-04-28,1.29028
2014-05-05,1.37388
2014-05-12,1.34208
2014-05-19,1.34563
2014-05-26,1.21291
2014-06-02,1.19291
2014-06-09,1.14146
2014-06-16,1.06503
2014-06-23,1.12669
2014-06-30,0.947353
2014-07-07,0.944187
2014-07-14,0.934822
2014-07-21,0.81736
2014-07-28,0.852792
2014-08-04,0.746994
2014-08-11,0.761098
2014-08-18,0.767627
2014-08-25,0.862176
2014-09-01,0.984907
2014-09-08,1.16287
2014-09-15,1.22731
2014-09-22,1.2071
2014-09-29,1.16191
2014-10-06,1.30905
2014-10-13,1.37072
2014-10-20,1.43373
2014-10-27,1.42791
2014-11-03,1.61605
2014-11-10,1.65976
2014-11-17,2.05459
2014-11-24,2.53541
2014-12-01,2.54253
2014-12-08,3.60563
2014-12-15,4.90976
2014-12-22,5.98221
2014-12-29,5.47421
2014-12-29,4.21374
2015-01-05,4.21022
2015-01-12,4.25968
2015-01-19,3.97761
2015-01-26,3.63443
2015-02-02,3.26527
2015-02-09,2.93083
2015-02-16,2.54474
2015-02-23,2.47227
2015-03-02,2.35665
2015-03-09,2.17008
2015-03-16,2.04297
2015-03-23,1.954
2015-03-30,1.72287
2015-04-06,1.53694
2015-04-13,1.38283
2015-04-20,1.46265
2015-04-27,1.38934
2015-05-04,1.3468
2015-05-11,1.25452
2015-05-18,1.21636
2015-05-25,1.16734
2015-06-01,1.04654
2015-06-08,0.943661
2015-06-15,0.935046
2015-06-22,0.934726
2015-06-29,0.864118
2015-07-06,0.806535
2015-07-13,0.742747
2015-07-20,0.737859
2015-07-27,0.743224
2015-08-03,0.805251
2015-08-10,0.816943
2015-08-17,0.814518
2015-08-24,0.86067
2015-08-31,0.886704
2015-09-07,1.00845
2015-09-14,1.06625
2015-09-21,1.05995
2015-09-28,1.2444
2015-10-05,1.31167
2015-10-12,1.36705
2015-10-19,1.37872
2015-10-26,1.44664
2015-11-02,1.51435
2015-11-09,1.60549
2015-11-16,1.91028
2015-11-23,1.68953
2015-11-30,1.79136
2015-12-07,1.88284
2015-12-14,2.32899
2015-12-21,2.42149
2016-01-04,1.952
2016-01-11,2.00295
2016-01-18,2.12477
2016-01-25,2.24537
2016-02-01,2.3839
2016-02-08,2.81135
2016-02-15,3.13597
2016-02-22,3.16087
2016-02-29,3.3327
2016-03-07,3.55722
2016-03-14,3.06024
2016-03-21,2.77036
2016-03-28,2.44031
2016-04-04,2.0237
2016-04-11,1.98334
2016-04-18,1.91625
2016-04-25,1.6998
2016-05-02,1.57581
2016-05-09,1.36919
2016-05-16,1.29911
2016-05-23,1.18694
2016-05-30,1.14538
2016-06-06,1.05087
2016-06-13,0.977529
2016-06-20,0.866988
2016-06-27,0.837187
2016-07-04,0.787578
2016-07-11,0.736881
2016-07-18,0.704598
2016-07-25,0.726978
2016-08-01,0.668299
2016-08-08,0.695724
2016-08-15,0.71389
2016-08-22,0.837038
2016-08-29,0.998705
2016-09-05,1.01943
2016-09-12,1.07556
2016-09-19,1.10612
2016-09-26,1.18794
2016-10-03,1.19625
2016-10-10,1.23448
2016-10-17,1.26681
2016-10-24,1.35126
2016-10-31,1.47735
2016-11-07,1.55759
2016-11-14,1.64645
2016-11-21,1.91349
2016-11-28,1.82411
2016-12-05,1.92622
2016-12-12,2.21907
2016-12-19,2.74118
2016-12-26,3.36449
2017-01-02,3.09646
2017-01-09,3.08534
2017-01-16,3.51494
2017-01-23,3.79409
2017-01-30,4.44615
2017-02-06,5.08147
2017-02-13,4.88888
2017-02-20,4.58299
2017-02-27,3.57119
2017-03-06,3.52625
2017-03-13,3.23895
2017-03-20,3.11897
2017-03-27,2.82118
2017-04-03,2.41137
2017-04-10,1.98396
2017-04-17,1.75376
2017-04-24,1.57651
2017-05-01,1.43415
2017-05-08,1.30549
2017-05-15,1.31696
2017-05-22,1.19845
2017-05-29,1.13579
2017-06-05,1.06985
2017-06-12,0.935031
2017-06-19,0.949484
2017-06-26,0.888967
2017-07-03,0.874644
2017-07-10,0.756687
2017-07-17,0.758115
2017-07-24,0.809676
